cts,date,GPS (Lat.) [deg],GPS (Long.) [deg],GPS (Alt.) [m],GPS (2D speed) [m/s],GPS (3D speed) [m/s],fix,precision,altitude system
169.1,2024-05-17T14:12:57.420Z,43.2303269,46.0189151,150.515,2.329,2.36,3,161,MSLV
223.8273888888889,2024-05-17T14:12:57.530Z,43.2303261,46.0189139,150.518,2.367,2.33,3,161,MSLV
278.55477777777776,2024-05-17T14:12:57.640Z,43.2303252,46.0189127,150.515,2.407,2.37,3,161,MSLV
333.2821666666666,2024-05-17T14:12:57.750Z,43.2303244,46.0189116,150.494,2.298,2.41,3,161,MSLV
388.0095555555555,2024-05-17T14:12:57.860Z,43.2303236,46.0189106,150.485,2.287,2.3,3,161,MSLV
442.73694444444436,2024-05-17T14:12:57.970Z,43.2303227,46.0189094,150.492,2.382,2.29,3,161,MSLV
497.46433333333323,2024-05-17T14:12:58.080Z,43.2303217,46.0189081,150.479,2.574,2.38,3,161,MSLV
552.1917222222221,2024-05-17T14:12:58.190Z,43.2303207,46.0189068,150.479,2.657,2.57,3,161,MSLV
606.919111111111,2024-05-17T14:12:58.300Z,43.2303198,46.0189055,150.473,2.652,2.66,3,161,MSLV
661.6464999999998,2024-05-17T14:12:58.410Z,43.2303189,46.0189042,150.465,2.59,2.65,3,161,MSLV
716.3738888888887,2024-05-17T14:12:58.520Z,43.230318,46.018903,150.433,2.585,2.59,3,161,MSLV
771.1012777777776,2024-05-17T14:12:58.630Z,43.230317,46.0189017,150.424,2.628,2.59,3,161,MSLV
825.8286666666664,2024-05-17T14:12:58.740Z,43.2303162,46.0189004,150.428,2.555,2.63,3,161,MSLV
880.5560555555553,2024-05-17T14:12:58.850Z,43.2303153,46.0188991,150.419,2.593,2.56,3,161,MSLV
935.2834444444442,2024-05-17T14:12:58.960Z,43.2303143,46.0188977,150.422,2.714,2.59,3,161,MSLV
990.010833333333,2024-05-17T14:12:59.070Z,43.2303133,46.0188964,150.408,2.723,2.72,3,161,MSLV
1044.738222222222,2024-05-17T14:12:59.180Z,43.2303123,46.018895,150.389,2.762,2.72,3,161,MSLV
1099.465611111111,2024-05-17T14:12:59.290Z,43.2303112,46.0188935,150.398,2.897,2.76,3,161,MSLV
1154.193,2024-05-17T14:12:59.400Z,43.2303103,46.0188921,150.415,2.854,2.9,3,150,MSLV
1209.5124736842106,2024-05-17T14:12:59.452Z,43.2303091,46.0188906,150.413,2.987,2.85,3,150,MSLV
1264.8319473684212,2024-05-17T14:12:59.504Z,43.2303081,46.0188892,150.42,2.986,2.99,3,150,MSLV
1320.1514210526318,2024-05-17T14:12:59.556Z,43.230307,46.0188877,150.418,3.009,2.99,3,150,MSLV
1375.4708947368424,2024-05-17T14:12:59.608Z,43.2303061,46.0188861,150.406,3.007,3.01,3,150,MSLV
1430.790368421053,2024-05-17T14:12:59.660Z,43.2303051,46.0188846,150.402,3.005,3.01,3,150,MSLV
1486.1098421052636,2024-05-17T14:12:59.712Z,43.2303041,46.018883,150.41,3.036,3.01,3,150,MSLV
1541.4293157894742,2024-05-17T14:12:59.764Z,43.230303,46.0188816,150.409,2.981,3.04,3,150,MSLV
1596.7487894736848,2024-05-17T14:12:59.816Z,43.230302,46.0188802,150.408,2.957,2.98,3,150,MSLV
1652.0682631578954,2024-05-17T14:12:59.868Z,43.230301,46.0188786,150.405,3.008,2.96,3,150,MSLV
1707.387736842106,2024-05-17T14:12:59.921Z,43.2302999,46.0188773,150.403,2.938,3.01,3,150,MSLV
